Date,Volume,PctChange,Lag1,Lag2,Lag3,Lag4,Lag5,Direction
1981-01-07,92890000,inf,inf,inf,inf,inf,inf,Up
1981-01-08,55350000,inf,inf,inf,inf,inf,inf,Up
1981-01-09,50190000,inf,inf,inf,inf,inf,inf,Up
1981-01-12,48760000,inf,inf,inf,inf,inf,inf,Up
1981-01-13,40890000,inf,inf,inf,inf,inf,inf,Up
1981-01-14,41390000,inf,inf,inf,inf,inf,inf,Up
1981-01-15,39640000,inf,inf,inf,inf,inf,inf,Up
1981-01-16,43260000,inf,inf,inf,inf,inf,inf,Up
1981-01-19,36470000,inf,inf,inf,inf,inf,inf,Up
1981-01-20,41750000,inf,inf,inf,inf,inf,inf,Up
1981-01-21,39190000,inf,inf,inf,inf,inf,inf,Up
1981-01-22,39880000,inf,inf,inf,inf,inf,inf,Up
1981-01-23,37220000,inf,inf,inf,inf,inf,inf,Up
1981-01-26,35380000,inf,inf,inf,inf,inf,inf,Up
1981-01-27,42260000,inf,inf,inf,inf,inf,inf,Up
1981-01-28,36690000,inf,inf,inf,inf,inf,inf,Up
1981-01-29,38170000,inf,inf,inf,inf,inf,inf,Up
1981-01-30,41160000,inf,inf,inf,inf,inf,inf,Up
1981-02-02,44070000,inf,inf,inf,inf,inf,inf,Up
1981-02-03,45950000,inf,inf,inf,inf,inf,inf,Up
1981-02-04,45520000,inf,inf,inf,inf,inf,inf,Up
1981-02-05,45320000,inf,inf,inf,inf,inf,inf,Up
1981-02-06,45820000,inf,inf,inf,inf,inf,inf,Up
1981-02-09,38330000,inf,inf,inf,inf,inf,inf,Up
1981-02-10,40820000,inf,inf,inf,inf,inf,inf,Up
1981-02-11,37770000,inf,inf,inf,inf,inf,inf,Up
1981-02-12,34700000,inf,inf,inf,inf,inf,inf,Up
1981-02-13,33360000,inf,inf,inf,inf,inf,inf,Up
1981-02-17,37940000,inf,inf,inf,inf,inf,inf,Up
1981-02-18,40410000,inf,inf,inf,inf,inf,inf,Up
1981-02-19,41630000,inf,inf,inf,inf,inf,inf,Up
1981-02-20,41900000,inf,inf,inf,inf,inf,inf,Up
1981-02-23,39590000,inf,inf,inf,inf,inf,inf,Up
1981-02-24,43960000,inf,inf,inf,inf,inf,inf,Up
1981-02-25,45710000,inf,inf,inf,inf,inf,inf,Up
1981-02-26,60300000,inf,inf,inf,inf,inf,inf,Up
1981-02-27,53210000,inf,inf,inf,inf,inf,inf,Up
1981-03-02,47710000,inf,inf,inf,inf,inf,inf,Up
1981-03-03,48730000,inf,inf,inf,inf,inf,inf,Up
1981-03-04,47260000,inf,inf,inf,inf,inf,inf,Up
1981-03-05,45380000,inf,inf,inf,inf,inf,inf,Up
1981-03-06,43940000,inf,inf,inf,inf,inf,inf,Up
1981-03-09,46180000,inf,inf,inf,inf,inf,inf,Up
1981-03-10,56610000,inf,inf,inf,inf,inf,inf,Up
1981-03-11,47390000,inf,inf,inf,inf,inf,inf,Up
1981-03-12,54640000,inf,inf,inf,inf,inf,inf,Up
1981-03-13,68290000,inf,inf,inf,inf,inf,inf,Up
1981-03-16,49940000,inf,inf,inf,inf,inf,inf,Up
1981-03-17,65920000,inf,inf,inf,inf,inf,inf,Up
1981-03-18,55740000,inf,inf,inf,inf,inf,inf,Up
1981-03-19,62440000,inf,inf,inf,inf,inf,inf,Up
1981-03-20,61980000,inf,inf,inf,inf,inf,inf,Up
1981-03-23,57880000,inf,inf,inf,inf,inf,inf,Up
1981-03-24,66400000,inf,inf,inf,inf,inf,inf,Up
1981-03-25,56320000,inf,inf,inf,inf,inf,inf,Up
1981-03-26,60370000,inf,inf,inf,inf,inf,inf,Up
1981-03-27,46930000,inf,inf,inf,inf,inf,inf,Up
1981-03-30,33500000,inf,inf,inf,inf,inf,inf,Up
1981-03-31,50980000,inf,inf,inf,inf,inf,inf,Up
1981-04-01,54880000,inf,inf,inf,inf,inf,inf,Up
