Date,Volume,PctChange,Lag1,Lag2,Lag3,Lag4,Lag5,Direction
1983-12-06,467510000,-0.09049233963153022,-0.4683552364246568,0.2950859532488355,-0.3181647097317236,2.884317252373825,-1.002751060254909,Down
1983-12-13,423440000,-1.992505669761542,-0.09049233963153022,-0.4683552364246568,0.2950859532488355,-0.3181647097317236,2.884317252373825,Down
1983-12-20,360790000,0.5482654959707981,-1.992505669761542,-0.09049233963153022,-0.4683552364246568,0.2950859532488355,-0.3181647097317236,Up
1983-12-27,307860000,1.0476604841865584,0.5482654959707981,-1.992505669761542,-0.09049233963153022,-0.4683552364246568,0.2950859532488355,Up
1984-01-03,589000000,2.4070826393034155,1.0476604841865584,0.5482654959707981,-1.992505669761542,-0.09049233963153022,-0.4683552364246568,Up
1984-01-10,503220000,-1.018354815191575,2.4070826393034155,1.0476604841865584,0.5482654959707981,-1.992505669761542,-0.09049233963153022,Down
1984-01-17,475470000,-1.3817428279672312,-1.018354815191575,2.4070826393034155,1.0476604841865584,0.5482654959707981,-1.992505669761542,Down
1984-01-24,534460000,-1.2130770056603843,-1.3817428279672312,-1.018354815191575,2.4070826393034155,1.0476604841865584,0.5482654959707981,Down
1984-01-31,550130000,-2.9409918522354825,-1.2130770056603843,-1.3817428279672312,-1.018354815191575,2.4070826393034155,1.0476604841865584,Down
1984-02-07,503400000,-1.874489674638291,-2.9409918522354825,-1.2130770056603843,-1.3817428279672312,-1.018354815191575,2.4070826393034155,Down
1984-02-14,345020000,0.5098474091521027,-1.874489674638291,-2.9409918522354825,-1.2130770056603843,-1.3817428279672312,-1.018354815191575,Up
1984-02-21,463950000,2.305565591868225,0.5098474091521027,-1.874489674638291,-2.9409918522354825,-1.2130770056603843,-1.3817428279672312,Up
1984-02-28,443970000,-0.8851246924654822,2.305565591868225,0.5098474091521027,-1.874489674638291,-2.9409918522354825,-1.2130770056603843,Down
1984-03-06,411940000,-0.9816980541830528,-0.8851246924654822,2.305565591868225,0.5098474091521027,-1.874489674638291,-2.9409918522354825,Down
1984-03-13,441430000,0.9210710471644359,-0.9816980541830528,-0.8851246924654822,2.305565591868225,0.5098474091521027,-1.874489674638291,Up
1984-03-20,409800000,-0.703511610431836,0.9210710471644359,-0.9816980541830528,-0.8851246924654822,2.305565591868225,0.5098474091521027,Down
1984-03-27,417280000,0.836150873750003,-0.703511610431836,0.9210710471644359,-0.9816980541830528,-0.8851246924654822,2.305565591868225,Up
1984-04-03,440780000,-1.6077020422863246,0.836150873750003,-0.703511610431836,0.9210710471644359,-0.9816980541830528,-0.8851246924654822,Down
1984-04-10,429090000,1.8462595254550864,-1.6077020422863246,0.836150873750003,-0.703511610431836,0.9210710471644359,-0.9816980541830528,Up
1984-04-17,332130000,-0.9600835031217291,1.8462595254550864,-1.6077020422863246,0.836150873750003,-0.703511610431836,0.9210710471644359,Down
1984-04-24,429850000,2.072704041292151,-0.9600835031217291,1.8462595254550864,-1.6077020422863246,0.836150873750003,-0.703511610431836,Up
1984-05-01,480880000,-0.36238789128115384,2.072704041292151,-0.9600835031217291,1.8462595254550864,-1.6077020422863246,0.836150873750003,Down
1984-05-08,431690000,-1.2353428266277398,-0.36238789128115384,2.072704041292151,-0.9600835031217291,1.8462595254550864,-1.6077020422863246,Down
1984-05-15,422420000,-1.75873287140377,-1.2353428266277398,-0.36238789128115384,2.072704041292151,-0.9600835031217291,1.8462595254550864,Down
1984-05-22,347950000,-2.009953271004996,-1.75873287140377,-1.2353428266277398,-0.36238789128115384,2.072704041292151,-0.9600835031217291,Down
1984-05-29,449390000,1.7939594435422774,-2.009953271004996,-1.75873287140377,-1.2353428266277398,-0.36238789128115384,2.072704041292151,Up
